"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C6","3","100n","Capacitor_SMD:C_0402_1005Metric",""
"2","C4, C5","2","22p","Capacitor_SMD:C_0402_1005Metric",""
"3","J1","1","Conn_01x04_Pin","Library:WireToBoard2x2Wide",""
"4","R1, R2","2","2k2","Resistor_SMD:R_0402_1005Metric",""
"5","R3, R4","2","10k","Resistor_SMD:R_0402_1005Metric",""
"6","U1","1","~","Package_LGA:LGA-28_5.2x3.8mm_P0.5mm",""
"7","Y1","1","32.768kHz","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm",""
